Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
pgaD	FJKNNBLA_01049	b1021	1102804	1102391	-1	P69432	poly-N-acetyl-D-glucosamine synthase subunit PgaD
pgaC	FJKNNBLA_01050	b1022	1104131	1102806	-1	P75905	poly-N-acetyl-D-glucosamine synthase subunit PgaC
pgaB	FJKNNBLA_01051	b1023	1106142	1104124	-1	P75906	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase and beta-1,6 glycoside hydrolase
pgaA	FJKNNBLA_01052	b1024	1108574	1106151	-1	P69434	partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine outer membrane porin
dgcT	FJKNNBLA_01053	b1025	1109161	1110519	1	P75908	putative diguanylate cyclase DgcT
ghrA	FJKNNBLA_01057	b1033	1112455	1113393	1	P75913	glyoxylate/hydroxypyruvate reductase A
ycdX	FJKNNBLA_01058	b1034	1113448	1114185	1	P75914	zinc-binding phosphatase YcdX
ycdY	FJKNNBLA_01059	b1035	1114209	1114763	1	P75915	chaperone protein YcdY
ycdZ	FJKNNBLA_01060	b1036	1114835	1115356	1	P75916	inner membrane protein YcdZ
csgG	FJKNNBLA_01061	b1037	1116253	1115420	-1	P0AEA2	curli secretion channel
csgF	FJKNNBLA_01062	b1038	1116696	1116280	-1	P0AE98	curli assembly component CsgF
csgE	FJKNNBLA_01063	b1039	1117110	1116721	-1	P0AE95	curli assembly component CsgE
csgD	FJKNNBLA_01064	b1040	1117765	1117115	-1	P52106	DNA-binding transcriptional dual regulator CsgD
csgB	FJKNNBLA_01065	b1041	1118520	1118975	1	P0ABK7	curlin, minor subunit
csgA	FJKNNBLA_01066	b1042	1119016	1119471	1	P28307	curlin, major subunit
csgC	FJKNNBLA_01067	b1043	1119530	1119862	1	P52107	curlin chaperone
ymdA	FJKNNBLA_01068	b1044	1119983	1120294	1	P75917	uncharacterized protein YmdA
ymdB	FJKNNBLA_01069	b1045	1120389	1120922	1	P0A8D6	2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
clsC	FJKNNBLA_01070	b1046	1120864	1122345	1	P75919	cardiolipin synthase C
mdoC	FJKNNBLA_01071	b1047	1123510	1122353	-1	P75920	protein required for succinyl modification of osmoregulated periplasmic glucans
mdoG	FJKNNBLA_01072	b1048	1123937	1125439	1	P33136	osmoregulated periplasmic glucans (OPGs) biosynthesis protein G
mdoH	FJKNNBLA_01073	b1049	1125462	1127975	1	P62517	osmoregulated periplasmic glucans (OPGs) biosynthesis protein H
yceK	FJKNNBLA_01074	b1050	1128148	1128375	1	P0AB31	DUF1375 domain-containing lipoprotein YceK
msyB	FJKNNBLA_01075	b1051	1128750	1128376	-1	P25738	acidic protein MsyB
mdtG	FJKNNBLA_01076	b1053	1130059	1128833	-1	P25744	efflux pump MdtG
lpxL	FJKNNBLA_01077	b1054	1131151	1130231	-1	P0ACV0	lauroyl acyltransferase
trhO	FJKNNBLA_01078	b1055	1131376	1132428	1	P24188	tRNA U34 hydroxylase TrhO
yceI	FJKNNBLA_01079	b1056	1133045	1132470	-1	P0A8X2	protein YceI
yceJ	FJKNNBLA_01080	b1057	1133615	1133049	-1	P75925	putative cytochrome b561 YceJ
yceO	FJKNNBLA_01081	b1058	1133989	1133876	-1	P64442	DUF2770 domain-containing protein YceO
solA	FJKNNBLA_01082	b1059	1135155	1134037	-1	P40874	N-methyl-L-tryptophan oxidase
bssS	FJKNNBLA_01083	b1060	1135527	1135270	-1	P0AB33	regulator of biofilm formation
dinI	FJKNNBLA_01084	b1061	1136059	1135814	-1	P0ABR1	DNA damage-inducible protein I
pyrC	FJKNNBLA_01085	b1062	1137179	1136133	-1	P05020	dihydroorotase
yceB	FJKNNBLA_01086	b1063	1137845	1137285	-1	P0AB26	putative lipid-binding lipoprotein YceB
grxB	FJKNNBLA_01087	b1064	1138626	1137979	-1	P0AC59	reduced glutaredoxin 2
mdtH	FJKNNBLA_01088	b1065	1139898	1138690	-1	P69367	multidrug efflux pump MdtH
rimJ	FJKNNBLA_01089	b1066	1140134	1140718	1	P0A948	ribosomal-protein-S5-alanine N-acetyltransferase
yceH	FJKNNBLA_01090	b1067	1140729	1141376	1	P29217	DUF480 domain-containing protein YceH
yceM	FJKNNBLA_01091	b1068	1141378	1142301	1	P75931	putative oxidoreductase YceM
murJ	FJKNNBLA_01092	b1069	1142411	1143946	1	P0AF16	lipid II flippase MurJ
flgN	FJKNNBLA_01093	b1070	1144402	1143986	-1	P43533	flagellar biosynthesis protein FlgN
flgM	FJKNNBLA_01094	b1071	1144700	1144407	-1	P0AEM4	anti-sigma factor for FliA (sigma(28))
flgA	FJKNNBLA_01095	b1072	1145435	1144776	-1	P75933	flagellar basal body P-ring formation protein FlgA
flgB	FJKNNBLA_01096	b1073	1145590	1146006	1	P0ABW9	flagellar basal-body rod protein FlgB
flgC	FJKNNBLA_01097	b1074	1146010	1146414	1	P0ABX2	flagellar basal-body rod protein FlgC
flgD	FJKNNBLA_01098	b1075	1146426	1147121	1	P75936	flagellar biosynthesis, initiation of hook assembly
flgE	FJKNNBLA_01099	b1076	1147146	1148351	1	P75937	flagellar hook protein FlgE
flgF	FJKNNBLA_01100	b1077	1148371	1149126	1	P75938	flagellar basal-body rod protein FlgF
flgG	FJKNNBLA_01101	b1078	1149298	1150080	1	P0ABX5	flagellar basal-body rod protein FlgG
flgH	FJKNNBLA_01102	b1079	1150133	1150831	1	P0A6S0	flagellar L-ring protein
flgI	FJKNNBLA_01103	b1080	1150843	1151940	1	P0A6S3	flagellar P-ring protein
flgJ	FJKNNBLA_01104	b1081	1151940	1152881	1	P75942	putative peptidoglycan hydrolase FlgJ
flgK	FJKNNBLA_01105	b1082	1152947	1154590	1	P33235	flagellar hook-filament junction protein 1
flgL	FJKNNBLA_01106	b1083	1154602	1155555	1	P29744	flagellar hook-filament junction protein 2
rne	FJKNNBLA_01107	b1084	1158936	1155751	-1	P21513	ribonuclease E
rluC	FJKNNBLA_01108	b1086	1159509	1160468	1	P0AA39	23S rRNA pseudouridine(955/2504/2580)synthase
yceF	FJKNNBLA_01109	b1087	1161203	1160580	-1	P0A729	m(7)GTP pyrophosphatase
yceD	FJKNNBLA_01110	b1088	1161363	1161884	1	P0AB28	DUF177 domain-containing protein YceD
rpmF	FJKNNBLA_01111	b1089	1161936	1162109	1	P0A7N4	50S ribosomal subunit protein L32
plsX	FJKNNBLA_01112	b1090	1162220	1163260	1	P27247	putative phosphate acyltransferase
fabH	FJKNNBLA_01113	b1091	1163328	1164281	1	P0A6R0	3-oxoacyl-[acyl carrier protein
fabD	FJKNNBLA_01114	b1092	1164297	1165226	1	P0AAI9	[acyl-carrier-protein
fabG	FJKNNBLA_01115	b1093	1165239	1165973	1	P0AEK2	3-oxoacyl-[acyl-carrier-protein
acpP	FJKNNBLA_01116	b1094	1166184	1166420	1	P0A6A8	acyl carrier protein
fabF	FJKNNBLA_01117	b1095	1166508	1167749	1	P0AAI5	3-oxoacyl-[acyl carrier protein
pabC	FJKNNBLA_01118	b1096	1167869	1168678	1	P28305	aminodeoxychorismate lyase
mltG	FJKNNBLA_01119	b1097	1168681	1169703	1	P28306	endolytic murein transglycosylase
tmk	FJKNNBLA_01120	b1098	1169693	1170334	1	P0A720	hypothetical protein
holB	FJKNNBLA_01121	b1099	1170331	1171335	1	P28631	DNA polymerase III subunit delta'
ycfH	FJKNNBLA_01122	b1100	1171346	1172143	1	P0AFQ7	putative metal-dependent hydrolase YcfH
ptsG	FJKNNBLA_01123	b1101	1172438	1173871	1	P69786	glucose-specific PTS enzyme IIBC component
fhuE	FJKNNBLA_01124	b1102	1176120	1173931	-1	P16869	ferric coprogen/ferric rhodotorulic acid outer membrane transporter
hinT	FJKNNBLA_01125	b1103	1176454	1176813	1	P0ACE7	purine nucleoside phosphoramidase
ycfL	FJKNNBLA_01126	b1104	1176816	1177193	1	P75946	DUF1425 domain-containing protein YcfL
lpoB	FJKNNBLA_01127	b1105	1177207	1177848	1	P0AB38	outer membrane lipoprotein - activator of MrcB activity
thiK	FJKNNBLA_01128	b1106	1177829	1178653	1	P75948	thiamine kinase
nagZ	FJKNNBLA_01129	b1107	1178664	1179689	1	P75949	beta-N- acetylhexosaminidase
ycfP	FJKNNBLA_01130	b1108	1179712	1180254	1	P0A8E1	UPF0227 protein YcfP
ndh	FJKNNBLA_01131	b1109	1180662	1181966	1	P00393	NADH:quinone oxidoreductase II
ycfJ	FJKNNBLA_01132	b1110	1182193	1182732	1	P0AB35	PF05433 family protein YcfJ
comR	FJKNNBLA_01133	b1111	1183489	1182794	-1	P75952	DNA-binding transcriptional repressor ComR
bhsA	FJKNNBLA_01134	b1112	1183667	1183924	1	P0AB40	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
ycfS	FJKNNBLA_01135	b1113	1184966	1184007	-1	P75954	L,D-transpeptidase LdtC
mfd	FJKNNBLA_01136	b1114	1188607	1185113	-1	P30958	transcription-repair coupling factor
ycfT	FJKNNBLA_01137	b1115	1189760	1188687	-1	P75955	inner membrane protein YcfT
lolC	FJKNNBLA_01138	b1116	1190022	1191221	1	P0ADC3	lipoprotein release complex - inner membrane subunit
lolD	FJKNNBLA_01139	b1117	1191214	1191915	1	P75957	lipoprotein release complex - ATP binding subunit
lolE	FJKNNBLA_01140	b1118	1191921	1193159	1	P75958	lipoprotein release complex - inner membrane subunit
cobB	FJKNNBLA_01145	b1120	1194892	1195731	1	P75960	protein-lysine deacetylase/desuccinylase/lipoamidase
ycfZ	FJKNNBLA_01146	b1121	1196638	1195850	-1	P75961	putative inner membrane protein
potD	FJKNNBLA_01148	b1123	1198199	1197153	-1	P0AFK9	spermidine preferential ABC transporter periplasmic binding protein
potC	FJKNNBLA_01149	b1124	1198990	1198196	-1	P0AFK6	spermidine preferential ABC transporter membrane subunit PotC
potB	FJKNNBLA_01150	b1125	1199844	1198987	-1	P0AFK4	spermidine preferential ABC transporter membrane subunit PotB
potA	FJKNNBLA_01151	b1126	1200964	1199828	-1	P69874	spermidine preferential ABC transporter ATP binding subunit
pepT	FJKNNBLA_01152	b1127	1201214	1202440	1	P29745	peptidase T
roxA	FJKNNBLA_01153	b1128	1203610	1202489	-1	P27431	ribosomal protein-arginine oxygenase
phoQ	FJKNNBLA_01154	b1129	1205146	1203686	-1	P23837	sensor histidine kinase PhoQ
phoP	FJKNNBLA_01155	b1130	1205817	1205146	-1	P23836	DNA-binding transcriptional dual regulator PhoP
purB	FJKNNBLA_01156	b1131	1207355	1205985	-1	P0AB89	adenylosuccinate lyase
hflD	FJKNNBLA_01157	b1132	1208000	1207359	-1	P25746	lysogenization regulator
mnmA	FJKNNBLA_01158	b1133	1209142	1208036	-1	P25745	tRNA-specific 2-thiouridylase
nudJ	FJKNNBLA_01159	b1134	1209657	1209196	-1	P0AEI6	phosphatase NudJ
rluE	FJKNNBLA_01160	b1135	1210320	1209667	-1	P75966	23S rRNA pseudouridine(2457)synthase
icd	FJKNNBLA_01161	b1136	1210492	1211742	1	P08200	isocitrate dehydrogenase
ycgX	FJKNNBLA_01162	b1161	1213268	1212864	-1	P75988	DUF1398 domain-containing protein YcgX
bluR	FJKNNBLA_01163	b1162	1214220	1213489	-1	P75989	DNA-binding transcriptional repressor BluR
bluF	FJKNNBLA_01164	b1163	1215636	1214425	-1	P75990	blue light-and temperature-regulated antirepressor BluF
ycgZ	FJKNNBLA_01165	b1164	1215950	1216186	1	P75991	putative two-component system connector protein YcgZ
ariR	FJKNNBLA_01166	b1166	1216530	1216796	1	P75993	putative two-component system connector protein AriR
ymgC	FJKNNBLA_01167	b1167	1216909	1217157	1	P75994	protein YmgC
pdeG	FJKNNBLA_01168	b1168	1217489	1219012	1	P75995	putative c-di-GMP phosphodiesterase PdeG
ymgF	FJKNNBLA_01169	b4520	1219144	1219362	1	P58034	inner membrane protein YmgF
ymgD	FJKNNBLA_01172	b1171	1222795	1222466	-1	P0AB46	PF16456 family protein YmgD
ymgG	FJKNNBLA_01173	b1172	1223089	1222805	-1	Q7DFV3	PF13488 family protein YmgG
minE	FJKNNBLA_01174	b1174	1224706	1224440	-1	P0A734	Z-ring positioning protein MinE
minD	FJKNNBLA_01175	b1175	1225522	1224710	-1	P0AEZ3	Z-ring positioning protein MinD
minC	FJKNNBLA_01176	b1176	1226241	1225546	-1	P18196	Z-ring positioning protein MinC
ycgJ	FJKNNBLA_01177	b1177	1226761	1227129	1	P76001	PF05666 family protein YcgJ
pliG	FJKNNBLA_01178	b1178	1227633	1227232	-1	P76002	inhibitor of g-type lysozyme
ycgL	FJKNNBLA_01179	b1179	1227875	1228168	1	P0AB43	PF05166 family protein YcgL
ycgM	FJKNNBLA_01180	b1180	1228240	1228899	1	P76004	putative isomerase/hydrolase
ycgN	FJKNNBLA_01181	b1181	1228991	1229437	1	P0A8L5	PF03693 family protein YcgN
umuD	FJKNNBLA_01184	b1183	1230917	1231336	1	P0AG11	DNA polymerase V protein UmuD
umuC	FJKNNBLA_01185	b1184	1231336	1232604	1	P04152	DNA polymerase V catalytic protein
dsbB	FJKNNBLA_01186	b1185	1233180	1232650	-1	P0A6M2	protein thiol:quinone oxidoreductase DsbB
nhaB	FJKNNBLA_01187	b1186	1234867	1233326	-1	P0AFA7	Na(+):H(+)antiporter NhaB
fadR	FJKNNBLA_01188	b1187	1235088	1235807	1	P0A8V6	DNA-binding transcriptional dual regulator FadR
ycgB	FJKNNBLA_01189	b1188	1237391	1235859	-1	P29013	PF04293 family protein YcgB
dadA	FJKNNBLA_01190	b1189	1237721	1239019	1	P0A6J5	D-amino acid dehydrogenase
dadX	FJKNNBLA_01191	b1190	1239029	1240099	1	P29012	alanine racemase 2
cvrA	FJKNNBLA_01193	b1191	1242221	1240485	-1	P76007	putative K(+):H(+)antiporter
ldcA	FJKNNBLA_01194	b1192	1243230	1242316	-1	P76008	murein L,D-carboxypeptidase
emtA	FJKNNBLA_01195	b1193	1243330	1243941	1	P0C960	lytic murein transglycosylase E
ycgR	FJKNNBLA_01196	b1194	1244677	1243943	-1	P76010	flagellar brake protein YcgR
ymgE	FJKNNBLA_01197	b1195	1244878	1245132	1	P76011	PF04226 family protein YmgE
ycgY	FJKNNBLA_01198	b1196	1245310	1245750	1	P76012	uncharacterized protein YcgY
treA	FJKNNBLA_01199	b1197	1247526	1245829	-1	P13482	periplasmic trehalase
dhaM	FJKNNBLA_01200	b1198	1249264	1247846	-1	P37349	dihydroxyacetone kinase subunit M
dhaL	FJKNNBLA_01201	b1199	1249907	1249275	-1	P76014	dihydroxyacetone kinase subunit L
dhaK	FJKNNBLA_01202	b1200	1250988	1249918	-1	P76015	dihydroxyacetone kinase subunit K
dhaR	FJKNNBLA_01203	b1201	1251216	1253135	1	P76016	DNA-binding transcriptional dual regulator DhaR
ycgV	FJKNNBLA_01204	b1202	1256102	1253235	-1	P76017	putative autotransporter adhesin YcgV
ychF	FJKNNBLA_01206	b1203	1257962	1256871	-1	P0ABU2	redox-responsive ATPase YchF
pth	FJKNNBLA_01207	b1204	1258663	1258079	-1	P0A7D1	peptidyl-tRNA hydrolase
ychH	FJKNNBLA_01208	b1205	1258941	1259219	1	P0AB49	stress-induced protein
dauA	FJKNNBLA_01209	b1206	1260926	1259274	-1	P0AFR2	aerobic C4-dicarboxylate transporter DauA
prs	FJKNNBLA_01210	b1207	1262091	1261078	-1	P0A717	ribose-phosphate diphosphokinase
ispE	FJKNNBLA_01211	b1208	1263027	1262176	-1	P62615	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
lolB	FJKNNBLA_01212	b1209	1263650	1263027	-1	P61320	outer membrane lipoprotein LolB
hemA	FJKNNBLA_01213	b1210	1263864	1265120	1	P0A6X1	glutamyl-tRNA reductase
prfA	FJKNNBLA_01214	b1211	1265162	1266244	1	P0A7I0	peptide chain release factor RF1
prmC	FJKNNBLA_01215	b1212	1266244	1267077	1	P0ACC1	protein-(glutamine-N(5))methyltransferase
ychQ	FJKNNBLA_01216	b1213	1267074	1267466	1	Q46755	SirB family protein YchQ
ychA	FJKNNBLA_01217	b1214	1267470	1268279	1	P0AGM5	transglutaminase-like/TPR repeat-containing protein
kdsA	FJKNNBLA_01218	b1215	1268315	1269169	1	P0A715	3-deoxy-D-manno-octulosonate 8-phosphate synthase
ldrB	FJKNNBLA_01219	b4421	1269423	1269316	-1	Q6BF87	small toxic polypeptide LdrB
ldrB	FJKNNBLA_01220	b4421	1269958	1269851	-1	Q6BF87	small toxic polypeptide LdrB
ldrB	FJKNNBLA_01221	b4421	1270493	1270386	-1	Q6BF87	small toxic polypeptide LdrB
chaA	FJKNNBLA_01222	b1216	1271998	1270898	-1	P31801	Na(+)/K(+):H(+)antiporter ChaA
chaB	FJKNNBLA_01223	b1217	1272268	1272498	1	P0AE63	putative cation transport regulator ChaB
chaC	FJKNNBLA_01224	b1218	1272635	1273351	1	P39163	glutathione-specific gamma-glutamylcyclotransferase
ychN	FJKNNBLA_01225	b1219	1273748	1273395	-1	P0AB52	DsrE/F sulfur relay family protein YchN
ychO	FJKNNBLA_01226	b1220	1273898	1275328	1	P39165	putative invasin YchO
narL	FJKNNBLA_01227	b1221	1275979	1275329	-1	P0AF28	DNA-binding transcriptional dual regulator NarL
narX	FJKNNBLA_01228	b1222	1277768	1275972	-1	P0AFA2	sensory histidine kinase NarX
narK	FJKNNBLA_01230	b1223	1278107	1279498	1	P10903	nitrate:nitrite antiporter NarK
narG	FJKNNBLA_01231	b1224	1280014	1283757	1	P09152	nitrate reductase A subunit alpha
narH	FJKNNBLA_01232	b1225	1283754	1285292	1	P11349	nitrate reductase A subunit beta
narJ	FJKNNBLA_01233	b1226	1285289	1285999	1	P0AF26	nitrate reductase 1 molybdenum cofactor assembly chaperone
narI	FJKNNBLA_01234	b1227	1285999	1286676	1	P11350	nitrate reductase A subunit gamma
purU	FJKNNBLA_01237	b1232	1288418	1287576	-1	P37051	formyltetrahydrofolate deformylase
ychJ	FJKNNBLA_01238	b1233	1288926	1288468	-1	P37052	NTF2-like domain-containing protein YchJ
rssA	FJKNNBLA_01239	b1234	1289000	1289944	1	P0AFR0	putative patatin-like phospholipase RssA
rssB	FJKNNBLA_01240	b1235	1290036	1291049	1	P0AEV1	regulator of RpoS
galU	FJKNNBLA_01241	b1236	1291251	1292159	1	P0AEP3	UTP--glucose-1-phosphate uridylyltransferase
hns	FJKNNBLA_01242	b1237	1292716	1292303	-1	P0ACF8	DNA-binding transcriptional dual regulator H-NS
tdk	FJKNNBLA_01243	b1238	1293320	1293937	1	P23331	thymidine/deoxyuridine kinase
adhE	FJKNNBLA_01244	b1241	1296914	1294239	-1	P0A9Q7	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
ychE	FJKNNBLA_01245	b1242	1297391	1298038	1	P25743	MarC family putative inner membrane protein YchE
oppA	FJKNNBLA_01248	b1243	1298731	1300407	1	P23843	oligopeptide ABC transporter periplasmic binding protein
oppB	FJKNNBLA_01249	b1244	1300493	1301413	1	P0AFH2	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB
oppC	FJKNNBLA_01250	b1245	1301428	1302336	1	P0AFH6	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC
oppD	FJKNNBLA_01251	b1246	1302348	1303361	1	P76027	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD
oppF	FJKNNBLA_01252	b1247	1303358	1304362	1	P77737	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF
yciU	FJKNNBLA_01253	b1248	1304744	1304415	-1	P0A8L7	DUF440 domain-containing protein YciU
clsA	FJKNNBLA_01254	b1249	1306239	1304779	-1	P0A6H8	cardiolipin synthase A
kch	FJKNNBLA_01255	b1250	1307863	1306610	-1	P31069	K(+) channel Kch
yciI	FJKNNBLA_01256	b1251	1308459	1308163	-1	P0AB55	protein YciI
tonB	FJKNNBLA_01257	b1252	1308668	1309402	1	P02929	Ton complex subunit TonB
yciA	FJKNNBLA_01258	b1253	1309840	1309442	-1	P0A8Z0	acyl-CoA thioesterase YciA
yciB	FJKNNBLA_01259	b1254	1310484	1309945	-1	P0A710	inner membrane protein
yciC	FJKNNBLA_01260	b1255	1311257	1310514	-1	P21365	putative inner membrane protein
ompW	FJKNNBLA_01261	b1256	1311614	1312252	1	P0A915	outer membrane protein W
yciE	FJKNNBLA_01262	b1257	1312818	1312312	-1	P21363	DUF892 domain-containing protein YciE
yciF	FJKNNBLA_01263	b1258	1313364	1312864	-1	P21362	DUF892 domain-containing protein YciF
yciG	FJKNNBLA_01264	b1259	1313629	1313450	-1	P21361	stress-induced bacterial acidophilic repeat motifs-containing protein YciG
trpA	FJKNNBLA_01265	b1260	1314816	1314010	-1	P0A877	tryptophan synthase subunit alpha
trpB	FJKNNBLA_01266	b1261	1316009	1314816	-1	P0A879	tryptophan synthase subunit beta
trpC	FJKNNBLA_01267	b1262	1317379	1316021	-1	P00909	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
trpGD	FJKNNBLA_01268	b1263	1318978	1317383	-1	P00904	anthranilate synthase subunit TrpD
trpE	FJKNNBLA_01269	b1264	1320540	1318978	-1	P00895	anthranilate synthase subunit TrpE
yciV	FJKNNBLA_01270	b1266	1320814	1321695	1	P77766	RNA/ssDNA 5'->3' exonuclease
yciO	FJKNNBLA_01271	b1267	1321692	1322312	1	P0AFR4	putative RNA-binding protein YciO
rluB	FJKNNBLA_01276	b1269	1325224	1326099	1	P37765	23S rRNA pseudouridine(2605)synthase
btuR	FJKNNBLA_01277	b1270	1326729	1326139	-1	P0A9H5	cobinamide/cobalamin adenosyltransferase
yciK	FJKNNBLA_01278	b1271	1327484	1326726	-1	P31808	putative oxidoreductase
sohB	FJKNNBLA_01279	b1272	1327704	1328753	1	P0AG14	S49 peptidase family protein
yciN	FJKNNBLA_01280	b1273	1329040	1328789	-1	P0AB61	protein YciN
topA	FJKNNBLA_01281	b1274	1329420	1332017	1	P06612	DNA topoisomerase 1
cysB	FJKNNBLA_01282	b1275	1332227	1333201	1	P0A9F3	DNA-binding transcriptional dual regulator CysB
ymiA	FJKNNBLA_01283	b4522	1333532	1333660	1	P0CB62	uncharacterized protein YmiA
yciX	FJKNNBLA_01284	b4523	1333663	1333830	1	P58094	uncharacterized protein YciX
ymiC	FJKNNBLA_01285	b4741	1333944	1334039	1	P0DPO1	protein YmiC
acnA	FJKNNBLA_01286	b1276	1334203	1336878	1	P25516	aconitate hydratase 1
ribA	FJKNNBLA_01287	b1277	1337532	1336942	-1	P0A7I7	GTP cyclohydrolase 2
pgpB	FJKNNBLA_01288	b1278	1337702	1338466	1	P0A924	phosphatidylglycerophosphatase B
lapA	FJKNNBLA_01289	b1279	1338615	1338923	1	P0ACV4	lipopolysaccharide assembly protein A
lapB	FJKNNBLA_01290	b1280	1338930	1340099	1	P0AB58	lipopolysaccharide assembly protein B
pyrF	FJKNNBLA_01291	b1281	1340232	1341029	1	P08244	orotidine-5'-phosphate decarboxylase
yciH	FJKNNBLA_01292	b1282	1341029	1341355	1	P08245	putative translation factor
osmB	FJKNNBLA_01293	b1283	1341699	1341481	-1	P0ADA7	osmotically-inducible lipoprotein OsmB
yciT	FJKNNBLA_01294	b1284	1342717	1341968	-1	P76034	putative DNA-binding transcriptional regulator YciT
yciZ	FJKNNBLA_01295	b4596	1342980	1342807	-1	A5A614	UPF0509 protein YciZ
pdeR	FJKNNBLA_01296	b1285	1345112	1343127	-1	P77334	cyclic di-GMP phosphodiesterase PdeR
rnb	FJKNNBLA_01297	b1286	1347281	1345347	-1	P30850	RNase II
yciW	FJKNNBLA_01298	b1287	1348476	1347349	-1	P76035	putative oxidoreductase
fabI	FJKNNBLA_01299	b1288	1349408	1348620	-1	P0AEK4	enoyl-[acyl-carrier-protein
sapF	FJKNNBLA_01300	b1290	1351003	1350197	-1	P0AAH8	putrescine ABC exporter ATP binding protein SapF
sapD	FJKNNBLA_01301	b1291	1351997	1351005	-1	P0AAH4	putrescine ABC exporter ATP binding protein SapD
sapC	FJKNNBLA_01302	b1292	1352887	1351997	-1	P0AGH5	putrescine ABC exporter membrane protein SapC
sapB	FJKNNBLA_01303	b1293	1353839	1352874	-1	P0AGH3	putrescine ABC exporter membrane subunit SapB
sapA	FJKNNBLA_01304	b1294	1355479	1353836	-1	Q47622	putative periplasmic binding protein SapA
ymjA	FJKNNBLA_01305	b1295	1356036	1355791	-1	P0ACV8	DUF2543 domain-containing protein YmjA
puuP	FJKNNBLA_01306	b1296	1357555	1356170	-1	P76037	putrescine:H(+)symporter PuuP
puuA	FJKNNBLA_01307	b1297	1359276	1357858	-1	P78061	glutamate-putrescine ligase
puuD	FJKNNBLA_01308	b1298	1359500	1360252	1	P76038	gamma-glutamyl-gamma-aminobutyrate hydrolase
puuR	FJKNNBLA_01309	b1299	1360279	1360836	1	P0A9U6	DNA-binding transcriptional repressor PuuR
puuC	FJKNNBLA_01310	b1300	1361111	1362598	1	P23883	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase
puuB	FJKNNBLA_01311	b1301	1362600	1363880	1	P37906	gamma-glutamylputrescine oxidase
puuE	FJKNNBLA_01312	b1302	1363918	1365183	1	P50457	4-aminobutyrate aminotransferase PuuE
pspF	FJKNNBLA_01313	b1303	1366280	1365303	-1	P37344	DNA-binding transcriptional dual regulator PspF
pspA	FJKNNBLA_01314	b1304	1366447	1367115	1	P0AFM6	phage shock protein A
pspB	FJKNNBLA_01315	b1305	1367169	1367393	1	P0AFM9	phage shock protein B
pspC	FJKNNBLA_01316	b1306	1367393	1367752	1	P0AFN2	phage shock protein C
pspD	FJKNNBLA_01317	b1307	1367761	1367982	1	P0AFV8	phage shock protein D
pspE	FJKNNBLA_01318	b1308	1368057	1368371	1	P23857	thiosulfate sulfurtransferase PspE
ycjM	FJKNNBLA_01319	b1309	1368584	1370263	1	P76041	glucosylglycerate phosphorylase
ycjN	FJKNNBLA_01320	b1310	1370277	1371569	1	P76042	putative ABC transporter periplasmic binding protein YcjN
ycjO	FJKNNBLA_01321	b1311	1371590	1372471	1	P0AFR7	putative ABC transporter membrane subunit YcjO
ycjP	FJKNNBLA_01322	b1312	1372458	1373300	1	P77716	putative ABC transporter membrane subunit YcjP
ycjQ	FJKNNBLA_01323	b1313	1373331	1374383	1	P76043	D-guloside 3-dehydrogenase
ycjR	FJKNNBLA_01324	b1314	1374402	1375190	1	P76044	3-dehydro-D-guloside 4-epimerase
ycjS	FJKNNBLA_01325	b1315	1375200	1376255	1	P77503	D-glucoside 3-dehydrogenase
ycjT	FJKNNBLA_01326	b1316	1376252	1378519	1	P77154	kojibiose phosphorylase
ycjU	FJKNNBLA_01327	b1317	1378516	1379175	1	P77366	beta-phosphoglucomutase
ugpC	FJKNNBLA_01328	b3450	1379189	1380271	1	P10907	sn-glycerol 3-phosphate ABC transporter ATP binding subunit
ompG	FJKNNBLA_01329	b1319	1380316	1381221	1	P76045	outer membrane porin G
ycjW	FJKNNBLA_01330	b1320	1382330	1381332	-1	P77615	DNA-binding transcriptional repressor YcjW
ycjX	FJKNNBLA_01331	b1321	1382486	1383883	1	P76046	DUF463 domain-containing protein YcjX
ycjF	FJKNNBLA_01332	b1322	1383880	1384941	1	P0A8R7	DUF697 domain-containing inner membrane protein YcjF
tyrR	FJKNNBLA_01333	b1323	1385089	1386630	1	P07604	DNA-binding transcriptional dual regulator TyrR
tpx	FJKNNBLA_01334	b1324	1387180	1386674	-1	P0A862	lipid hydroperoxide peroxidase
ycjG	FJKNNBLA_01335	b1325	1387299	1388264	1	P51981	L-Ala-D/L-Glu epimerase
